cluster,num_unique_orders,accoids
cluster_000,1,[1169434]
cluster_205,1,[1169038]
cluster_211,1,[1169514]
cluster_210,1,[1169623]
cluster_209,1,[1169057]
cluster_208,1,[1169182]
cluster_207,1,[1168576]
cluster_206,1,[1168590]
cluster_203,1,[1169136]
cluster_213,1,[1169019]
cluster_202,1,[1169239]
cluster_201,1,[1169341]
cluster_200,1,[1169098]
cluster_198,1,[1169630]
cluster_197,1,[1169630]
cluster_196,1,[1169635]
cluster_212,1,[1169291]
cluster_214,1,[1169427]
cluster_194,1,[1169630]
cluster_223,1,[1169630]
cluster_229,1,[1169341]
cluster_228,1,[1169064]
cluster_227,1,[1169057]
cluster_226,1,[1168821]
cluster_225,1,[1168828]
cluster_224,1,[1169064]
cluster_222,1,[1169645]
cluster_215,1,[1169303]
cluster_221,1,[1169546]
cluster_220,1,[1169441]
cluster_219,1,[1169441]
cluster_218,1,[1169105]
cluster_217,1,[1169105]
cluster_216,1,[1169098]
cluster_195,1,[1169630]
cluster_193,1,[1169141]
cluster_231,1,[1169272]
cluster_166,1,[1169303]
cluster_172,1,[1169755]
cluster_171,1,[1169755]
cluster_170,1,[1168833]
cluster_169,1,[1168864]
cluster_168,1,[1169310]
cluster_167,1,[1169310]
cluster_165,1,[1169329]
cluster_174,1,[1169052]
cluster_164,1,[1168902]
cluster_162,1,[1169455]
cluster_161,1,[1169448]
cluster_160,1,[1169038]
cluster_159,1,[1169086]
cluster_158,1,[1169630]
cluster_173,1,[1169360]
cluster_176,1,[1169105]
cluster_192,1,[1168854]
cluster_185,1,[1169091]
cluster_191,1,[1168854]
cluster_190,1,[1169521]
cluster_189,1,[1169322]
cluster_188,1,[1169315]
cluster_187,1,[1169310]
cluster_186,1,[1169076]
cluster_184,1,[1169630]
cluster_177,1,[1168902]
cluster_183,1,[1169434]
cluster_182,1,[1168879]
cluster_181,1,[1168854]
cluster_180,1,[1169207]
cluster_179,1,[1169200]
cluster_178,1,[1168907]
cluster_230,1,[1169336]
cluster_232,1,[1169336]
cluster_156,1,[1169322]
cluster_282,1,[1168559]
cluster_288,1,[1168715]
cluster_287,1,[1169207]
cluster_286,1,[1168736]
cluster_285,1,[1169403]
cluster_284,1,[1169086]
cluster_283,1,[1169788]
cluster_281,1,[1169495]
cluster_290,1,[1169119]
cluster_280,1,[1168864]
cluster_279,1,[1168661]
cluster_278,1,[1168790]
cluster_277,1,[1169004]
cluster_276,1,[1168997]
cluster_275,1,[1169427]
cluster_289,1,[1169119]
cluster_291,1,[1169514]
cluster_273,1,[1169476]
cluster_300,1,[1168869]
cluster_306,1,[1169303]
cluster_305,1,[1168821]
cluster_304,1,[1169182]
cluster_303,1,[1169490]
cluster_302,1,[1168626]
cluster_301,1,[1169057]
cluster_299,1,[1168647]
cluster_292,1,[1168788]
cluster_298,1,[1169286]
cluster_297,1,[1168821]
cluster_296,1,[1169528]
cluster_295,1,[1168869]
cluster_294,1,[1169455]
cluster_293,1,[1168847]
cluster_274,1,[1169652]
cluster_272,1,[1168715]
cluster_233,1,[1169329]
cluster_245,1,[1169272]
cluster_251,1,[1169086]
cluster_250,1,[1168633]
cluster_249,1,[1168633]
cluster_248,1,[1168930]
cluster_247,1,[1168748]
cluster_246,1,[1169286]
cluster_244,1,[1169091]
cluster_254,1,[1169507]
cluster_243,1,[1169286]
cluster_242,1,[1169076]
cluster_241,1,[1169396]
cluster_236,1,[1169630]
cluster_235,1,[1168537]
cluster_234,1,[1169286]
cluster_253,1,[1169514]
cluster_255,1,[1169155]
cluster_271,1,[1168544]
cluster_264,1,[1168804]
cluster_270,1,[1168869]
cluster_269,1,[1168811]
cluster_268,1,[1168811]
cluster_267,1,[1169260]
cluster_266,1,[1169253]
cluster_265,1,[1168797]
cluster_263,1,[1168811]
cluster_256,1,[1168811]
cluster_262,1,[1168804]
cluster_261,1,[1168847]
cluster_260,1,[1169579]
cluster_259,1,[1169579]
cluster_258,1,[1169086]
cluster_257,1,[1169086]
cluster_157,1,[1169119]
cluster_153,1,[1169038]
cluster_001,1,[1168923]
cluster_046,1,[1169483]
cluster_052,1,[1168661]
cluster_051,1,[1168902]
cluster_050,1,[1168509]
cluster_049,1,[1168602]
cluster_048,1,[1168687]
cluster_047,1,[1168694]
cluster_045,1,[1169131]
cluster_054,1,[1169645]
cluster_044,1,[1169045]
cluster_043,1,[1169045]
cluster_042,1,[1168619]
cluster_041,1,[1168530]
cluster_040,1,[1168715]
cluster_039,1,[1168722]
cluster_053,1,[1168661]
cluster_055,1,[1168537]
cluster_037,1,[1169502]
cluster_064,1,[1169434]
cluster_071,1,[1168967]
cluster_069,1,[1169227]
cluster_068,1,[1168847]
cluster_067,1,[1169220]
cluster_066,1,[1169213]
cluster_065,1,[1169434]
cluster_063,1,[1169227]
cluster_056,1,[1168583]
cluster_062,1,[1169427]
cluster_061,1,[1168859]
cluster_060,1,[1168859]
cluster_059,1,[1169004]
cluster_058,1,[1168647]
cluster_057,1,[1168668]
cluster_038,1,[1169019]
cluster_036,1,[1169764]
cluster_073,1,[1168833]
cluster_010,1,[1168729]
cluster_016,1,[1169770]
cluster_015,1,[1168525]
cluster_014,1,[1168997]
cluster_013,1,[1168992]
cluster_012,1,[1169220]
cluster_011,1,[1169684]
cluster_008,1,[1169560]
cluster_018,1,[1168937]
cluster_007,1,[1168997]
cluster_006,1,[1168790]
cluster_005,1,[1168564]
cluster_004,1,[1168916]
cluster_003,1,[1168748]
cluster_002,1,[1169467]
cluster_017,1,[1169348]
cluster_019,1,[1169483]
cluster_035,1,[1169755]
cluster_028,1,[1168633]
cluster_034,1,[1169755]
cluster_033,1,[1168729]
cluster_032,1,[1169396]
cluster_031,1,[1169315]
cluster_030,1,[1169415]
cluster_029,1,[1169415]
cluster_027,1,[1169396]
cluster_020,1,[1169716]
cluster_026,1,[1168736]
cluster_025,1,[1168729]
cluster_024,1,[1169341]
cluster_023,1,[1169408]
cluster_022,1,[1169716]
cluster_021,1,[1169728]
cluster_072,1,[1168958]
cluster_074,1,[1168626]
cluster_152,1,[1169381]
cluster_124,1,[1169131]
cluster_130,1,[1169136]
cluster_129,1,[1169267]
cluster_128,1,[1168981]
cluster_127,1,[1168864]
cluster_126,1,[1168687]
cluster_125,1,[1169396]
cluster_123,1,[1169495]
cluster_132,1,[1169207]
cluster_122,1,[1168595]
cluster_121,1,[1169004]
cluster_120,1,[1169004]
cluster_118,1,[1168722]
cluster_117,1,[1168992]
cluster_116,1,[1168576]
cluster_131,1,[1169322]
cluster_134,1,[1169207]
cluster_113,1,[1169160]
cluster_143,1,[1169004]
cluster_151,1,[1168769]
cluster_150,1,[1168755]
cluster_147,1,[1168564]
cluster_146,1,[1168564]
cluster_145,1,[1169141]
cluster_144,1,[1169167]
cluster_142,1,[1169016]
cluster_135,1,[1169160]
cluster_141,1,[1168902]
cluster_140,1,[1168715]
cluster_139,1,[1169141]
cluster_138,1,[1168547]
cluster_137,1,[1168854]
cluster_136,1,[1169310]
cluster_114,1,[1169119]
cluster_112,1,[1169186]
cluster_075,1,[1168847]
cluster_084,1,[1168602]
cluster_090,1,[1169403]
cluster_089,1,[1169403]
cluster_088,1,[1169403]
cluster_087,1,[1168864]
cluster_086,1,[1168864]
cluster_085,1,[1168869]
cluster_083,1,[1169267]
cluster_092,1,[1168525]
cluster_081,1,[1168847]
cluster_080,1,[1169182]
cluster_079,1,[1168840]
cluster_078,1,[1168840]
cluster_077,1,[1168633]
cluster_076,1,[1168626]
cluster_091,1,[1169291]
cluster_093,1,[1168722]
cluster_111,1,[1168902]
cluster_103,1,[1169455]
cluster_110,1,[1168902]
cluster_109,1,[1169155]
cluster_107,1,[1169507]
cluster_106,1,[1169611]
cluster_105,1,[1169616]
cluster_104,1,[1168811]
cluster_102,1,[1169213]
cluster_094,1,[1168722]
cluster_101,1,[1169004]
cluster_100,1,[1168888]
cluster_098,1,[1168974]
cluster_097,1,[1168992]
cluster_096,1,[1168715]
cluster_095,1,[1168888]
cluster_noise,1,[1168729]
