cluster,num_unique_orders,accoids
cluster_291,154,"[1170787, 1170794, 1170811, 1170816, 1170828, 1170835, 1170854, 1170866, 1170873, 1170880, 1170887, 1170894, 1170901, 1170906, 1170909, 1170913, 1170925, 1170932, 1170937, 1170947, 1170952, 1170959, 1170966, 1170982, 1170989, 1170996, 1171008, 1171015, 1171022, 1171029, 1171036, 1171039, 1171046, 1171053, 1171060, 1171067, 1171074, 1171081, 1171086, 1171100, 1171107, 1171112, 1171119, 1171126, 1171129, 1171137, 1171144, 1171151, 1171163, 1171170, 1171175, 1171182, 1171187, 1171194, 1171199, 1171206, 1171213, 1171218, 1171237, 1171242, 1171247, 1171254, 1171257, 1171262, 1171267, 1171272, 1171277, 1171284, 1171291, 1171296, 1171303, 1171310, 1171317, 1171324, 1171329, 1171341, 1171346, 1171360, 1171365, 1171370, 1171381, 1171388, 1171393, 1171400, 1171405, 1171412, 1171419, 1171431, 1171438, 1171457, 1171464, 1171471, 1171478, 1171490, 1171495, 1171502, 1171509, 1171516, 1171521, 1171528, 1171535, 1171538, 1171545, 1171557, 1171562, 1171574, 1171593, 1171600, 1171607, 1171612, 1171619, 1171624, 1171631, 1171638, 1171645, 1171652, 1171659, 1171664, 1171671, 1171678, 1171683, 1171688, 1171695, 1171707, 1171712, 1171719, 1171726, 1171733, 1171736, 1171741, 1171746, 1171753, 1171758, 1171765, 1171772, 1171779, 1171786, 1171793, 1171800, 1171803, 1171810, 1171817, 1171822, 1171827, 1171834, 1171841, 1171848, 1171853, 1171863, 1171870, 1171877, 1171882, 1171889, 1171901]"
cluster_noise,20,"[1170816, 1170952, 1171151, 1171156, 1171163, 1171237, 1171257, 1171277, 1171291, 1171296, 1171317, 1171365, 1171370, 1171726, 1171733, 1171736, 1171746, 1171765, 1171834, 1171858]"
cluster_102,17,"[1171137, 1171144, 1171213, 1171218, 1171490, 1171495, 1171619, 1171624, 1171652, 1171659, 1171664, 1171712, 1171793, 1171800, 1171803, 1171810, 1171817]"
cluster_092,12,"[1171218, 1171490, 1171495, 1171600, 1171652, 1171659, 1171664, 1171712, 1171793, 1171800, 1171803, 1171810]"
cluster_046,9,"[1170787, 1171107, 1171112, 1171753, 1171758, 1171765, 1171803, 1171810, 1171817]"
cluster_161,8,"[1171237, 1171438, 1171550, 1171557, 1171562, 1171567, 1171574, 1171863]"
cluster_147,8,"[1171341, 1171388, 1171393, 1171400, 1171772, 1171803, 1171810, 1171817]"
cluster_275,7,"[1170873, 1170880, 1170887, 1170894, 1170901, 1170906, 1170947]"
cluster_274,7,"[1170873, 1170880, 1170887, 1170894, 1170901, 1170906, 1170947]"
cluster_018,7,"[1170925, 1170932, 1170937, 1170942, 1171741, 1171746, 1171863]"
cluster_230,7,"[1170866, 1170873, 1170880, 1170887, 1170894, 1170901, 1170947]"
cluster_103,7,"[1171029, 1171137, 1171144, 1171490, 1171495, 1171817, 1171848]"
cluster_289,6,"[1170854, 1170861, 1170866, 1170873, 1170880, 1170887]"
cluster_288,6,"[1170854, 1170861, 1170866, 1170873, 1170880, 1170887]"
cluster_249,6,"[1171779, 1171786, 1171793, 1171800, 1171803, 1171810]"
cluster_255,6,"[1170918, 1170925, 1170932, 1170937, 1171046, 1171053]"
cluster_114,6,"[1171046, 1171053, 1171060, 1171067, 1171074, 1171081]"
cluster_282,6,"[1171182, 1171187, 1171194, 1171199, 1171206, 1171277]"
cluster_141,6,"[1171029, 1171036, 1171039, 1171119, 1171126, 1171247]"
cluster_192,6,"[1170913, 1170918, 1170925, 1170932, 1170937, 1170942]"
cluster_168,5,"[1170835, 1171521, 1171528, 1171535, 1171538]"
cluster_176,5,"[1171100, 1171107, 1171151, 1171156, 1171163]"
cluster_063,5,"[1170787, 1170794, 1170811, 1171443, 1171450]"
cluster_122,5,"[1171545, 1171562, 1171567, 1171574, 1171579]"
cluster_201,5,"[1171187, 1171194, 1171199, 1171206, 1171213]"
cluster_054,5,"[1171182, 1171187, 1171194, 1171199, 1171206]"
cluster_038,5,"[1171029, 1171036, 1171039, 1171242, 1171247]"
cluster_220,5,"[1170918, 1170925, 1170932, 1170937, 1170942]"
cluster_225,5,"[1171405, 1171412, 1171550, 1171772, 1171779]"
cluster_134,5,"[1171029, 1171036, 1171039, 1171126, 1171247]"
cluster_094,5,"[1170894, 1170901, 1170906, 1170909, 1171478]"
cluster_283,5,"[1170861, 1170866, 1170873, 1170880, 1170887]"
cluster_237,5,"[1170918, 1170925, 1170932, 1170937, 1170942]"
cluster_240,5,"[1170854, 1170861, 1170866, 1170873, 1170880]"
cluster_250,5,"[1170918, 1170925, 1170932, 1170937, 1170942]"
cluster_281,5,"[1171182, 1171187, 1171194, 1171199, 1171206]"
cluster_260,5,"[1171779, 1171786, 1171793, 1171800, 1171803]"
cluster_236,4,"[1171405, 1171412, 1171419, 1171426]"
cluster_160,4,"[1171036, 1171039, 1171046, 1171053]"
cluster_263,4,"[1171457, 1171464, 1171471, 1171478]"
cluster_170,4,"[1171719, 1171726, 1171733, 1171736]"
cluster_169,4,"[1171310, 1171317, 1171324, 1171329]"
cluster_265,4,"[1171277, 1171310, 1171405, 1171412]"
cluster_267,4,"[1171060, 1171067, 1171074, 1171081]"
cluster_269,4,"[1171060, 1171067, 1171074, 1171081]"
cluster_268,4,"[1171060, 1171067, 1171074, 1171081]"
cluster_142,4,"[1171029, 1171036, 1171039, 1171126]"
cluster_182,4,"[1171194, 1171199, 1171206, 1171213]"
cluster_270,4,"[1171060, 1171067, 1171074, 1171081]"
cluster_272,4,"[1171060, 1171067, 1171074, 1171081]"
cluster_108,4,"[1171170, 1171175, 1171182, 1171262]"
cluster_286,4,"[1170866, 1170873, 1170880, 1170887]"
cluster_178,4,"[1171457, 1171464, 1171471, 1171478]"
cluster_189,4,"[1171457, 1171464, 1171471, 1171478]"
cluster_187,4,"[1170894, 1170901, 1170906, 1170909]"
cluster_188,4,"[1171719, 1171726, 1171733, 1171736]"
cluster_232,4,"[1171405, 1171412, 1171419, 1171426]"
