,image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
count,893,893.0,893.0,893,893,893,893.0,893.0,893.0,893.0,893,893,893,893,893.0,893,893.0,873.0,311,311,311,893
unique,286,,,136,122,286,,,,,20,55,110,2,,7,,,2,7,32,2
top,cluster_071_AccoID_1168967_20251105_110053.png,,,224672/91,2025-11-05 13:09:00,2025-11-05 11:00:53,,,,,Beverages Coffee,COFFEE,cappuccino,Female,,56–65,,,Female,41-55,09:45:00,False
freq,15,,,42,42,15,,,,,280,262,135,656,,272,,,220,122,48,582
mean,,147.38745800671893,1169090.0660694288,,,,-257.426640537514,1.238521836506159,0.007614781748407497,46.218488241881296,,,,,0.9348768197088466,,0.5755027995520717,95.05727376861398,,,,
std,,91.55241790192096,332.4147537337837,,,,275.9295233102414,0.5035689318111402,0.03829639429500124,31.764905964966218,,,,,0.09377441954114137,,0.1640062999275349,52.10679682715742,,,,
min,,0.0,1168509.0,,,,-1351.0,1.0,0.0,0.01,,,,,0.53,,0.2,1.0,,,,
25%,,62.0,1168804.0,,,,-301.0,1.0,0.0,29.0,,,,,0.94,,0.448,51.0,,,,
50%,,142.0,1169086.0,,,,-196.0,1.0,0.0,36.0,,,,,0.971,,0.548,91.0,,,,
75%,,229.0,1169396.0,,,,-96.0,1.0,0.0,59.0,,,,,0.988,,0.713,140.0,,,,
max,,306.0,1169788.0,,,,-0.01,6.0,0.2000000029802322,170.0,,,,,0.999,,0.976,198.0,,,,
