,dtype,unique,missing_pct
image_name,object,234,0.0
cluster_id,int64,234,0.0
AccoID,int64,113,0.0
AccoDocNo,object,113,0.0
AccoDate,object,95,0.0
timestamp,object,234,0.0
AccoAmount,float64,100,0.0
Quantity,float64,4,0.0
Discount,float64,2,0.0
UnitPrice,float64,39,0.0
StockCateDesc,object,22,0.0
StockName,object,55,0.0
StockDesciption,object,114,0.0
predicted_gender,object,2,0.0
confidence,float64,122,0.0
predicted_age,object,7,0.0
age_confidence,float64,181,0.0
InvNo,float64,108,2.684563758389262
survey_gender,object,2,57.04697986577181
survey_age_group,object,6,57.04697986577181
survey_time,object,27,57.04697986577181
survey_completed,bool,2,0.0
