,image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
count,894,894.0,894.0,894,894,894,894.0,894.0,894.0,894.0,894,894,894,894,894.0,894,894.0,870.0,384,384,384,894
unique,234,,,113,95,234,,,,,22,55,114,2,,7,,,2,6,27,2
top,cluster_279_AccoID_1171015_20251107_100617.png,,,224912/44,2025-11-07 10:13:00,2025-11-07 10:06:17,,,,,Beverages Coffee,COFFEE,cappuccino,Female,,21–30,,,Female,56-65,10:12:00,False
freq,15,,,72,72,15,,,,,238,238,103,648,,243,,,300,109,72,510
mean,,146.6364653243848,1171289.860178971,,,,-235.38926174496643,1.1733780760626398,0.004026845697588568,49.98114093959732,,,,,0.9292964205816554,,0.5203288590604027,85.75402298850575,,,,
std,,85.28244917915993,331.1503407477449,,,,132.23588310869798,0.4208007061282588,0.02810760352569788,31.28904160866268,,,,,0.09171741039209687,,0.13069843954750404,55.59742856642338,,,,
min,,0.0,1170787.0,,,,-548.0,1.0,0.0,0.01,,,,,0.505,,0.261,1.0,,,,
25%,,70.25,1171015.0,,,,-286.0,1.0,0.0,29.0,,,,,0.917,,0.431,39.0,,,,
50%,,150.0,1171215.5,,,,-224.0,1.0,0.0,39.0,,,,,0.962,,0.489,71.0,,,,
75%,,217.75,1171594.75,,,,-132.0,1.0,0.0,59.0,,,,,0.989,,0.61,138.0,,,,
max,,291.0,1171939.0,,,,-0.02,4.0,0.2000000029802322,139.0,,,,,0.999,,0.899,185.0,,,,
