image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
cluster_000_AccoID_1169434_20251105_131026.png,0,1169434,224673/155,2025-11-05 13:10:00,2025-11-05 13:10:26,-85.0,1.0,0.0,29.0,Mineral cooldrinks,COKE,original  ,Male,0.946,21–30,0.443,155.0,,,,False
cluster_000_AccoID_1169434_20251105_131026.png,0,1169434,224673/155,2025-11-05 13:10:00,2025-11-05 13:10:26,-85.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Male,0.946,21–30,0.443,155.0,,,,False
cluster_000_AccoID_1169434_20251105_131026.png,0,1169434,224673/155,2025-11-05 13:10:00,2025-11-05 13:10:26,-85.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Male,0.946,21–30,0.443,155.0,,,,False
cluster_001_AccoID_1168923_20251105_105123.png,1,1168923,224590/74,2025-11-05 10:52:00,2025-11-05 10:51:23,-256.0,1.0,0.0,29.0,Mineral cooldrinks,COKE,original  ,Female,0.908,66–80,0.305,74.0,,,,False
cluster_001_AccoID_1168923_20251105_105123.png,1,1168923,224590/74,2025-11-05 10:52:00,2025-11-05 10:51:23,-256.0,1.0,0.0,59.0,Breakfast,BREAKFAST,lite,Female,0.908,66–80,0.305,74.0,,,,False
cluster_001_AccoID_1168923_20251105_105123.png,1,1168923,224590/74,2025-11-05 10:52:00,2025-11-05 10:51:23,-256.0,1.0,0.0,129.0,Breakfast,BREAKFAST,avo full house ,Female,0.908,66–80,0.305,74.0,,,,False
cluster_001_AccoID_1168923_20251105_105123.png,1,1168923,224590/74,2025-11-05 10:52:00,2025-11-05 10:51:23,-256.0,1.0,0.0,39.0,Beverages Hot,CHAI LATTE,none,Female,0.908,66–80,0.305,74.0,,,,False
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,39.0,Cakes,LEMON DRIZZLE,none,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,39.0,Cakes,LEMON DRIZZLE,none,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_002_AccoID_1169467_20251105_132245.png,2,1169467,224678/161,2025-11-05 13:24:00,2025-11-05 13:22:45,-104.0,1.0,0.0,39.0,Cakes,LEMON DRIZZLE,none,Male,0.935,56–65,0.566,161.0,Male,41-55,08:19:00,True
cluster_003_AccoID_1168748_20251105_095655.png,3,1168748,224562/44,2025-11-05 09:56:00,2025-11-05 09:56:55,-72.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.971,66–80,0.776,44.0,,,,False
cluster_004_AccoID_1168916_20251105_104927.png,4,1168916,224589/73,2025-11-05 10:50:00,2025-11-05 10:49:27,-83.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.856,56–65,0.4,73.0,,,,False
cluster_004_AccoID_1168916_20251105_104927.png,4,1168916,224589/73,2025-11-05 10:50:00,2025-11-05 10:49:27,-83.0,1.0,0.0,63.0,Toasted sandwiches,TOASTED SANDWICH,chicken pesto mayo,Female,0.856,56–65,0.4,73.0,,,,False
cluster_005_AccoID_1168564_20251105_090126.png,5,1168564,224534/15,2025-11-05 09:02:00,2025-11-05 09:01:26,-220.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,latte,Male,0.983,56–65,0.517,15.0,Male,56-65,08:59:00,True
cluster_005_AccoID_1168564_20251105_090126.png,5,1168564,224534/15,2025-11-05 09:02:00,2025-11-05 09:01:26,-220.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Male,0.983,56–65,0.517,15.0,Male,56-65,08:59:00,True
cluster_005_AccoID_1168564_20251105_090126.png,5,1168564,224534/15,2025-11-05 09:02:00,2025-11-05 09:01:26,-220.0,1.0,0.0,89.0,Breakfast,BREAKFAST,hadeda,Male,0.983,56–65,0.517,15.0,Male,56-65,08:59:00,True
cluster_005_AccoID_1168564_20251105_090126.png,5,1168564,224534/15,2025-11-05 09:02:00,2025-11-05 09:01:26,-220.0,1.0,0.0,59.0,Breakfast,BREAKFAST,avo and toast,Male,0.983,56–65,0.517,15.0,Male,56-65,08:59:00,True
cluster_006_AccoID_1168790_20251105_102045.png,6,1168790,224569/53,2025-11-05 10:22:00,2025-11-05 10:20:45,-148.01,1.0,0.0,0.01,Specials,SPECIAL,coffee ,Male,0.986,21–30,0.533,53.0,,,,False
cluster_006_AccoID_1168790_20251105_102045.png,6,1168790,224569/53,2025-11-05 10:22:00,2025-11-05 10:20:45,-148.01,1.0,0.0,89.0,Tramezinni's,TRAMEZZINI,breakfast café,Male,0.986,21–30,0.533,53.0,,,,False
cluster_006_AccoID_1168790_20251105_102045.png,6,1168790,224569/53,2025-11-05 10:22:00,2025-11-05 10:20:45,-148.01,1.0,0.0,59.0,Toasted sandwiches,TOASTED SANDWICH,chicken and mayo,Male,0.986,21–30,0.533,53.0,,,,False
cluster_007_AccoID_1168997_20251105_110943.png,7,1168997,224601/87,2025-11-05 11:11:00,2025-11-05 11:09:43,-168.0,1.0,0.0,39.0,Beverages Coffee,COFFEE,mocha,Male,0.989,31–40,0.614,87.0,,,,False
cluster_007_AccoID_1168997_20251105_110943.png,7,1168997,224601/87,2025-11-05 11:11:00,2025-11-05 11:09:43,-168.0,1.0,0.0,129.0,Light lunches,CRUMBED CHICKEN FILLET,none,Male,0.989,31–40,0.614,87.0,,,,False
cluster_008_AccoID_1169560_20251105_142318.png,8,1169560,224693/177,2025-11-05 14:24:00,2025-11-05 14:23:18,-99.0,1.0,0.0,99.0,Light lunches,CURRY MINCE,none,Male,0.945,56–65,0.459,177.0,,,,False
cluster_010_AccoID_1168729_20251105_095257.png,10,1168729,224559/42,2025-11-05 09:53:00,2025-11-05 09:52:57,-92.0,1.0,0.0,29.0,Mineral cooldrinks,COKE,zero,Female,0.847,11–20,0.485,42.0,Female,21-30,09:45:00,True
cluster_010_AccoID_1168729_20251105_095257.png,10,1168729,224559/42,2025-11-05 09:53:00,2025-11-05 09:52:57,-92.0,1.0,0.0,63.0,Toasted sandwiches,TOASTED SANDWICH,cheese and bacon and egg,Female,0.847,11–20,0.485,42.0,Female,21-30,09:45:00,True
cluster_011_AccoID_1169684_20251105_151529.png,11,1169684,224709/191,2025-11-05 15:16:00,2025-11-05 15:15:29,-79.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.955,41–55,0.413,191.0,,,,False
cluster_011_AccoID_1169684_20251105_151529.png,11,1169684,224709/191,2025-11-05 15:16:00,2025-11-05 15:15:29,-79.0,1.0,0.0,43.0,Beverages Cold,MILO FLOAT,none,Female,0.955,41–55,0.413,191.0,,,,False
