,image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
count,1787,1787.0,1787.0,1787,1787,1787,1787.0,1787.0,1787.0,1787.0,1787,1787,1787,1787,1787.0,1787,1787.0,1743.0,695,695,695,1787
unique,520,,,249,217,520,,,,,22,74,152,2,,8,,,2,7,59,2
top,cluster_279_AccoID_1171015_20251107_100617.png,,,224912/44,2025-11-07 10:13:00,2025-11-07 10:06:17,,,,,Beverages Coffee,COFFEE,cappuccino,Female,,11–20,,,Female,56-65,10:12:00,False
freq,15,,,72,72,15,,,,,518,500,238,1304,,481,,,520,183,72,1092
mean,,147.01175153889199,1170190.5786233912,,,,-246.4017851147174,1.2059317291550085,0.005819809823711289,48.10086737548965,,,,,0.9320850587576944,,0.5774359261331842,90.4136546184739,,,,
std,,88.44726493687598,1149.1164890127807,,,,216.5422933497879,0.4650236442777699,0.03362624787079347,31.575039232765963,,,,,0.09276706572507953,,0.18330886713157282,54.062518318361036,,,,
min,,0.0,1168509.0,,,,-1351.0,1.0,0.0,0.01,,,,,0.505,,0.2,1.0,,,,
25%,,65.0,1169086.0,,,,-291.0,1.0,0.0,29.0,,,,,0.927,,0.432,40.0,,,,
50%,,144.0,1170787.0,,,,-213.0,1.0,0.0,36.0,,,,,0.968,,0.551,91.0,,,,
75%,,224.0,1171215.5,,,,-117.8,1.0,0.0,59.0,,,,,0.988,,0.718,139.0,,,,
max,,306.0,1171939.0,,,,-0.01,6.0,0.2000000029802322,170.0,,,,,0.999,,0.985,198.0,,,,
