,dtype,unique,missing_pct
image_name,object,520,0.0
cluster_id,int64,297,0.0
AccoID,int64,249,0.0
AccoDocNo,object,249,0.0
AccoDate,object,217,0.0
timestamp,object,520,0.0
AccoAmount,float64,179,0.0
Quantity,float64,5,0.0
Discount,float64,2,0.0
UnitPrice,float64,47,0.0
StockCateDesc,object,22,0.0
StockName,object,74,0.0
StockDesciption,object,152,0.0
predicted_gender,object,2,0.0
confidence,float64,176,0.0
predicted_age,object,7,0.0
age_confidence,float64,319,0.0
InvNo,float64,161,2.4622271964185787
survey_gender,object,2,61.10800223838836
survey_age_group,object,6,61.10800223838836
survey_time,object,59,61.10800223838836
survey_completed,bool,2,0.0
